image_name,card_set,card_number,rarity,card_name,other_names,card_type,attribute,types,race_type,ability_type,level,atk_def,atk,def,password,status,effect_types,ritual_required,property,ritual_monster_required,pendulum_scale,rank,link_arrows,atk_link,atk_link_val,link_rating,other_names_japanese,summoned_by_the_effect_of
PHSW-EN043 UR.png,Photon Shockwave,PHSW-EN043,Ultra Rare,Evolzar Laggia,NA,Monster,FIRE,Dragon / Xyz / Effect,Dragon,Xyz,NA,2400 / 2000,2400,2000,74294676,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Quick'],NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
TDIL-EN062 C.png,The Dark Illusion,TDIL-EN062,Common,Triamid Fortress,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,09989792,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous-like', 'Continuous-like', 'Trigger-like', 'Condition']",NA,Field,NA,NA,NA,NA,NA,NA,NA,NA,NA
LON-010 C.png,Labyrinth of Nightmare,LON-010,Common,Gadget Soldier,NA,Monster,FIRE,Machine,Machine,NA,6,1800 / 2000,1800,2000,86281779,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDGS-EN090 R.png,The Duelist Genesis,TDGS-EN090,Rare,The Tricky,NA,Monster,WIND,Spellcaster / Effect,Spellcaster,Effect,5,2000 / 1200,2000,1200,14778250,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Unclassified'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRD-051 SP.png,Metal Raiders,MRD-051,Short Print,Queen's Double,NA,Monster,EARTH,Warrior / Effect,Warrior,Effect,1,350 / 300,350,300,05901497,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NECH-EN011 C.png,The New Challengers,NECH-EN011,Common,Superheavy Samurai Soulshield Wall,NA,Monster,EARTH,Machine / Effect,Machine,Effect,3,1200 / 1200,1200,1200,31181711,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Ignition', 'Continuous-like', 'Trigger-like']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOCS-EN020 R.png,Dimension of Chaos,DOCS-EN020,Rare,Sphere Kuriboh,NA,Monster,DARK,Fiend / Effect,Fiend,Effect,1,300 / 200,300,200,33245030,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']","['Trigger', 'Unclassified']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SECE-EN089 R.png,Secrets of Eternity,SECE-EN089,Rare,U.A. Turnover Tactics,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,61613388,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Activation requirement', 'Effect', 'Condition']",NA,Quick-Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
EOJ-EN057 C.png,Enemy of Justice,EOJ-EN057,Common,Macro Cosmos,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,30241314,"['Unlimited (Ocg)', 'Limited (Tcg)']","['Effect', 'Continuous-like']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHVI-EN050 R.png,Shining Victories,SHVI-EN050,Rare,Hi-Speedroid Puzzle,NA,Monster,WIND,Machine / Synchro / Effect,Machine,Synchro,4,1300 / 1600,1300,1600,86943389,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOD-EN045 C.png,Soul of the Duelist,SOD-EN045,Common,Two-Man Cell Battle,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,25578802,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger-like'],NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
RATE-EN092 C.png,Raging Tempest,RATE-EN092,Common,Symph Amplifire,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,75304793,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous-like', 'Continuous-like', 'Ignition-like']",NA,Field,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOTB-EN045 R.png,Force of the Breaker,FOTB-EN045,Rare,Ancient City - Rainbow Ruins,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,34487429,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']","['Condition', 'Continuous-like', 'Continuous-like', 'Quick-like', 'Ignition-like', 'Ignition-like']",NA,Field,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXFO-EN069 C.png,Extreme Force,EXFO-EN069,Common,Tindangle Delaunay,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,99157310,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Activation requirement', 'Effect', 'Quick-like']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIFO-EN068 C.png,Dimension Force,DIFO-EN068,Common,Surprise Chain,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,70491413,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Condition']",NA,Quick-Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRL-067 C.png,Spell Ruler,MRL-067,Common,Performance of Sword,NA,Monster,EARTH,Warrior / Ritual,Warrior,Ritual,6,1950 / 1850,1950,1850,04849037,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']",NA,"""Commencement Dance""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSOC-EN021 C.png,Crossroads of Chaos,CSOC-EN021,Common,Power Injector,NA,Monster,EARTH,Psychic / Effect,Psychic,Effect,4,1300 / 1400,1300,1400,89547299,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Ignition'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAMA-EN011 C.png,Dawn of Majesty,DAMA-EN011,Common,Gunkan Suship Shari,NA,Monster,FIRE,Aqua / Normal,Aqua,Normal,4,2000 / 0,2000,0,24639891,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGO-EN143 R.png,Maximum Gold,MAGO-EN143,Rare,Trade-In,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,38120068,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Cost', 'Effect']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
DREV-EN014 C.png,Duelist Revolution,DREV-EN014,Common,Mine Mole,NA,Monster,EARTH,Beast / Effect,Beast,Effect,3,1000 / 1200,1000,1200,94079037,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Trigger', 'Unclassified']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDGS-EN009 SR.png,The Duelist Genesis,TDGS-EN009,Super Rare,Sinister Sprocket,NA,Monster,DARK,Fiend / Tuner,Fiend,Tuner,1,400 / 0,400,0,61632317,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRMS-EN083 UR.png,Crimson Crisis,CRMS-EN083,Ultra Rare,Bone Crusher,NA,Monster,EARTH,Zombie / Effect,Zombie,Effect,4,1600 / 200,1600,200,37675138,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DIFO-EN037 C.png,Dimension Force,DIFO-EN037,Common,Predaplant Ambulomelides,NA,Monster,DARK,Plant / Fusion / Effect,Plant,Fusion,5,1000 / 2500,1000,2500,66309175,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Ignition', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRMS-EN076 R.png,Crimson Crisis,CRMS-EN076,Rare,Psychic Tuning,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,03891471,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Continuous-like', 'Continuous-like', 'Continuous-like', 'Trigger-like']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
DCR-076 SR.png,Dark Crisis,DCR-076,Super Rare,Mudora,NA,Monster,EARTH,Fairy / Effect,Fairy,Effect,4,1500 / 1800,1500,1800,82108372,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']",['Continuous'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHVI-EN072 R.png,Shining Victories,SHVI-EN072,Rare,Amorphage Lysis,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,47598941,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous-like', 'Trigger-like', 'Condition']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDIL-EN058 R.png,The Dark Illusion,TDIL-EN058,Rare,Illusion Magic,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,73616671,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Cost', 'Effect', 'Condition']",NA,Quick-Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
RATE-EN063 C.png,Raging Tempest,RATE-EN063,Common,Super Quantal Alphan Spike,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,72332074,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Activation requirement', 'Effect', 'Ignition-like']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFC-056 C.png,Magician's Force,MFC-056,Common,Aitsu,NA,Monster,FIRE,Fairy,Fairy,NA,5,100 / 100,100,100,48202661,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFC-003 C.png,Magician's Force,MFC-003,Common,United Resistance,NA,Monster,WIND,Thunder,Thunder,NA,3,1000 / 400,1000,400,85936485,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYHO-EN089 UR.png,Cybernetic Horizon,CYHO-EN089,Ultra Rare,Sacred Noble Knight of King Custennin,NA,Monster,LIGHT,Warrior / Xyz / Effect,Warrior,Xyz,NA,1500 / 2500,1500,2500,78876707,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Ignition', 'Trigger', 'Condition']",NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
PHRA-EN089 SR.png,Phantom Rage,PHRA-EN089,Super Rare,Myutant Arsenal,NA,Monster,FIRE,Machine / Effect,Machine,Effect,8,3000 / 1000,3000,1000,07574904,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Summoning condition', 'Continuous', 'Condition', 'Quick', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLOD-EN092 C.png,Flames of Destruction,FLOD-EN092,Common,Crystal Master,NA,Monster,DARK,Spellcaster / Pendulum / Effect,Spellcaster,Pendulum,3,1300 / 1000,1300,1000,87475570,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Pendulum Effect ', 'Continuous-like', 'Monster Effect', 'Ignition']",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
JOTL-EN012 C.png,Judgment of the Light,JOTL-EN012,Common,Umbral Horror Ghoul,NA,Monster,DARK,Fiend / Effect,Fiend,Effect,4,1800 / 0,1800,0,07152333,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Ignition'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHSP-EN032 C.png,Shadow Specters,SHSP-EN032,Common,Pumprincess the Princess of Ghosts,NA,Monster,DARK,Zombie / Effect,Zombie,Effect,3,900 / 1000,900,1000,17601919,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Trigger-like', 'Continuous-like']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOFU-EN076 C.png,Soul Fusion,SOFU-EN076,Common,Invincibility Barrier,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,17722185,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Quick-like'],NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOCS-EN047 UR.png,Dimension of Chaos,DOCS-EN047,Ultra Rare,Assault Blackwing - Raikiri the Rain Shower,NA,Monster,DARK,Winged Beast / Synchro / Effect,Winged Beast,Synchro,7,2600 / 2000,2600,2000,16051717,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Ignition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RDS-EN019 C.png,Rise of Destiny,RDS-EN019,Common,Harpie Lady 3,Keraino,Monster,WIND,Winged Beast / Effect,Winged Beast,Effect,4,1300 / 1400,1300,1400,54415063,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']","['Condition', 'Unclassified']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RDS-EN039 SR.png,Rise of Destiny,RDS-EN039,Super Rare,Triangle Ecstasy Spark,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,12181376,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']",['Effect'],NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFC-070 C.png,Magician's Force,MFC-070,Common,Pixie Knight,NA,Monster,LIGHT,Spellcaster / Effect,Spellcaster,Effect,2,1300 / 200,1300,200,35429292,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOSH-EN057 SR.png,Breakers of Shadow,BOSH-EN057,Super Rare,Pendulum Storm,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,83461421,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Effect'],NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORCS-EN042 UR.png,Order of Chaos,ORCS-EN042,Ultra Rare,Number 12: Crimson Shadow Armor Ninja,NA,Monster,EARTH,Warrior / Xyz / Effect,Warrior,Xyz,NA,2400 / 1700,2400,1700,19333131,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Quick'],NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
STON-EN013 SR.png,Strike of Neos,STON-EN013,Super Rare,Great Shogun Shien,NA,Monster,FIRE,Warrior / Effect,Warrior,Effect,7,2500 / 2400,2500,2400,63176202,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Continuous', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOD-065 SP.png,Legacy of Darkness,LOD-065,Short Print,Inaba White Rabbit,NA,Monster,EARTH,Beast / Spirit,Beast,Spirit,3,700 / 500,700,500,77084837,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Summoning condition', 'Trigger', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DREV-EN065 C.png,Duelist Revolution,DREV-EN065,Common,Howl of the Wild,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,97922283,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']",['Trigger-like'],NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGAS-EN052 R.png,Ignition Assault,IGAS-EN052,Rare,A.I.dle Reborn,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,22933016,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Trigger-like', 'Condition']",NA,Quick-Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
REDU-EN054 C.png,Return of the Duelist,REDU-EN054,Common,Chronomaly Technology,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,90951921,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Condition', 'Condition']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRIO-EN014 C.png,Primal Origin,PRIO-EN014,Common,Artifact Aegis,NA,Monster,LIGHT,Fairy / Effect,Fairy,Effect,5,1200 / 2500,1200,2500,85080444,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Trigger', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STBL-EN020 R.png,Starstrike Blast,STBL-EN020,Rare,"Karakuri Merchant mdl 177 ""Inashichi""",NA,Monster,EARTH,Machine / Effect,Machine,Effect,2,500 / 1500,500,1500,30230789,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Trigger', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DANE-EN078 SR.png,Dark Neostorm,DANE-EN078,Super Rare,Crackdown,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,36975314,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous-like', 'Continuous-like', 'Continuous-like']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHSP-EN036 C.png,Shadow Specters,SHSP-EN036,Common,Rasetsu,NA,Monster,FIRE,Fairy / Spirit,Fairy,Spirit,4,1500 / 1900,1500,1900,43378076,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Summoning condition', 'Trigger', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTDN-EN053 UR.png,Phantom Darkness,PTDN-EN053,Ultra Rare,The Beginning of the End,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,73680966,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']","['Activation requirement', 'Cost', 'Effect']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGO-EN010 PGR artwork2.png,Maximum Gold,MAGO-EN010,Premium Gold Rare,Ghost Reaper & Winter Cherries,NA,Monster,DARK,Zombie / Tuner / Effect,Zombie,Tuner,3,0 / 1800,0,1800,62015408,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Quick', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHIM-EN055 UR.png,Chaos Impact,CHIM-EN055,Ultra Rare,Wailing of the Unchained Souls,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,54807656,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger-like', 'Trigger-like', 'Condition']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
REDU-EN015 UR.png,Return of the Duelist,REDU-EN015,Ultra Rare,Spellbook Magician of Prophecy,NA,Monster,WATER,Spellcaster / Effect,Spellcaster,Effect,2,500 / 400,500,400,14824019,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOD-EN018 C.png,Soul of the Duelist,SOD-EN018,Common,Malice Doll of Demise,NA,Monster,DARK,Fiend / Effect,Fiend,Effect,4,1600 / 1700,1600,1700,72657739,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSOC-EN024 C.png,Crossroads of Chaos,CSOC-EN024,Common,Nettles,NA,Monster,EARTH,Plant / Tuner,Plant,Tuner,2,1200 / 400,1200,400,19505896,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIOV-EN050 SR.png,Lightning Overdrive,LIOV-EN050,Super Rare,Rank-Up-Magic Zexal Force,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,36224040,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Ignition-like', 'Condition']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHRA-EN033 SR.png,Phantom Rage,PHRA-EN033,Super Rare,Dual Avatar Feet - Armored Un-Gyo,NA,Monster,LIGHT,Warrior / Fusion / Effect,Warrior,Fusion,5,1700 / 2100,1700,2100,07631534,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Quick', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOB-005 UR.png,Legend of Blue Eyes White Dragon,LOB-005,Ultra Rare,Dark Magician,NA,Monster,DARK,Spellcaster / Normal,Spellcaster,Normal,7,2500 / 2100,2500,2100,46986414,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVAL-EN063 SR.png,Legacy of the Valiant,LVAL-EN063,Super Rare,Mount Sylvania,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,70222318,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Ignition-like', 'Condition', 'Trigger-like']",NA,Field,NA,NA,NA,NA,NA,NA,NA,NA,NA
ETCO-EN016 C.png,Eternity Code,ETCO-EN016,Common,Red Familiar,NA,Monster,DARK,Fiend / Effect,Fiend,Effect,4,1600 / 0,1600,0,08372133,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Ignition', 'Ignition', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABYR-EN079 C.png,Abyss Rising,ABYR-EN079,Common,Unification,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,95352218,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger-like'],NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
MACR-EN064 SP.png,Maximum Crisis,MACR-EN064,Short Print,Set Rotation,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,73468603,"['Limited (Ocg)', 'Limited (Tcg)']","['Effect', 'Lingering']",NA,Quick-Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
NECH-EN027 R.png,The New Challengers,NECH-EN027,Rare,Satellarknight Sirius,NA,Monster,LIGHT,Warrior / Effect,Warrior,Effect,4,1600 / 900,1600,900,63274863,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STOR-EN089 ScR.png,Storm of Ragnarok,STOR-EN089,Secret Rare,Six Strike - Thunder Blast,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,23212990,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Cost', 'Effect']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
LVAL-EN003 C.png,Legacy of the Valiant,LVAL-EN003,Common,Gillagillancer,NA,Monster,EARTH,Warrior / Effect,Warrior,Effect,6,2200 / 800,2200,800,76436988,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IOC-024 C.png,Invasion of Chaos,IOC-024,Common,Gren Maju Da Eiza,NA,Monster,FIRE,Fiend / Effect,Fiend,Effect,3,? / ?,NA,NA,36584821,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXVC-EN045 C.png,Extreme Victory,EXVC-EN045,Common,Scarlet Security,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,50215517,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Activation requirement', 'Effect']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
LODT-EN051 R.png,Light of Destruction,LODT-EN051,Rare,Light Barrier,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,73206827,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger-like', 'Continuous-like', 'Trigger-like']",NA,Field,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTGY-EN016 C.png,Lord of the Tachyon Galaxy,LTGY-EN016,Common,Battlin' Boxer Headgeared,NA,Monster,FIRE,Warrior / Effect,Warrior,Effect,4,1000 / 1800,1000,1800,79867938,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHVI-EN051 SR.png,Shining Victories,SHVI-EN051,Super Rare,Assault Blackwing - Chidori the Rain Sprinkling,NA,Monster,DARK,Winged Beast / Synchro / Effect,Winged Beast,Synchro,7,2600 / 2000,2600,2000,23338098,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Continuous', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CORE-EN097 R.png,Clash of Rebellions,CORE-EN097,Rare,Mandragon,NA,Monster,EARTH,Plant / Pendulum / Normal,Plant,Pendulum,5,2500 / 1000,2500,1000,19474136,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
MRD-092 C.png,Metal Raiders,MRD-092,Common,Ryu-Kishin Powered,NA,Monster,DARK,Fiend / Normal,Fiend,Normal,4,1600 / 1200,1600,1200,24611934,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAST-EN017 SR.png,Savage Strike,SAST-EN017,Super Rare,Shiranui Spectralsword Shade,NA,Monster,FIRE,Zombie / Tuner / Effect,Zombie,Tuner,3,800 / 0,800,0,79783880,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Ignition', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABYR-EN046 UR.png,Abyss Rising,ABYR-EN046,Ultra Rare,Mermail Abyssgaios,NA,Monster,WATER,Aqua / Xyz / Effect,Aqua,Xyz,NA,2800 / 1600,2800,1600,74371660,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Quick']",NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA
INOV-EN099 SR.png,Invasion: Vengeance,INOV-EN099,Super Rare,Paleozoic Opabinia,NA,Monster,WATER,Aqua / Xyz / Effect,Aqua,Xyz,NA,0 / 2400,0,2400,37649320,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Continuous', 'Ignition', 'Condition']",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
GFP2-EN121 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN121,Ultra Rare,Rose Spectre of Dunn,NA,Monster,DARK,Plant / Fusion,Plant,Fusion,6,2000 / 1800,2000,1800,32485271,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FET-EN032 C.png,Flaming Eternity,FET-EN032,Common,Firebird,NA,Monster,FIRE,Winged Beast / Effect,Winged Beast,Effect,4,1000 / 800,1000,800,87473172,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAGO-EN124 R.png,Maximum Gold,MAGO-EN124,Rare,Wightprince,NA,Monster,DARK,Zombie / Effect,Zombie,Effect,1,0 / 0,0,0,57473560,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Ignition', 'Unclassified']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
